GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Scala InfluxDB 2.0 Client,org.influxdata.scala.client,FluxClientScalaFactory,16,0,0,0,0,0,4,0,4,0
The Scala InfluxDB 2.0 Client,org.influxdata.scala.client,FluxClientScalaFactory.,42,0,0,0,10,0,6,0,6,0
The Scala InfluxDB 2.0 Client,org.influxdata.scala.client.internal,FluxApiScalaImpl..anon.new FluxCsvParser.FluxResponseConsumer() {...},23,0,2,0,7,0,4,0,3,0
The Scala InfluxDB 2.0 Client,org.influxdata.scala.client.internal,FluxApiScalaImpl..anon.new BiConsumer() {...},26,0,2,0,6,0,4,0,3,0
The Scala InfluxDB 2.0 Client,org.influxdata.scala.client.internal,FluxApiScalaImpl,143,0,0,0,32,0,12,0,12,0
