GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client.internal,FluxApiImpl,72,362,0,0,19,86,3,22,3,22
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client.internal,FluxApiImpl.new FluxCsvParser.FluxResponseConsumer() {...},25,0,0,0,4,0,3,0,3,0
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client.internal,FluxApiImpl.new FluxCsvParser.FluxResponseConsumer() {...},0,25,0,0,0,4,0,3,0,3
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client.internal,FluxApiImpl.new FluxCsvParser.FluxResponseConsumer() {...},0,16,0,0,0,4,0,3,0,3
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client.internal,AbstractFluxApi,0,90,0,4,0,30,0,6,0,4
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client,FluxClientFactory,0,15,0,0,0,6,0,2,0,2
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client,FluxConnectionOptions.Builder,12,97,1,6,1,26,1,10,0,6
The InfluxDB 1.7+ Flux Client,org.influxdata.flux.client,FluxConnectionOptions,12,100,1,3,1,21,1,8,0,7
